steam_appid,name,type,initial_price,release_date,score,recommendation,windows,mac,linux,header_image
10,Counter-Strike,game,9.99,2000-11-01,88.0,80296.0,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/10/header.jpg?t=1447887426
20,Team Fortress Classic,game,4.99,1999-04-01,,2577.0,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/20/header.jpg?t=1447350811
30,Day of Defeat,game,4.99,2003-05-01,79.0,2532.0,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/30/header.jpg?t=1447350812
40,Deathmatch Classic,game,4.99,2001-06-01,,937.0,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/40/header.jpg?t=1447350812
50,Half-Life: Opposing Force,game,4.99,1999-11-01,,3171.0,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/50/header.jpg?t=1447350813
60,Ricochet,game,4.99,2000-11-01,,2119.0,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/60/header.jpg?t=1453942008
70,Half-Life,game,9.99,1998-11-08,96.0,15378.0,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/70/header.jpg?t=1447890508
80,Counter-Strike: Condition Zero,game,9.99,2004-03-01,65.0,7826.0,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/80/header.jpg?t=1447889920
130,Half-Life: Blue Shift,game,4.99,2001-06-01,71.0,2372.0,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/130/header.jpg?t=1447350816
220,Half-Life 2,game,9.99,2004-11-16,96.0,43513.0,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/220/header.jpg?t=1456860366
240,Counter-Strike: Source,game,19.99,2004-11-01,88.0,58593.0,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/240/header.jpg?t=1448314295
280,Half-Life: Source,game,0.0,2004-06-01,,2745.0,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/280/header.jpg?t=1447350819
300,Day of Defeat: Source,game,9.99,2010-07-12,80.0,7785.0,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/300/header.jpg?t=1447350820
320,Half-Life 2: Deathmatch,game,4.99,2004-11-01,,4589.0,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/320/header.jpg?t=1447350821
340,Half-Life 2: Lost Coast,game,0.0,2005-10-27,,4547.0,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/340/header.jpg?t=1447350821
360,Half-Life Deathmatch: Source,game,0.0,2006-05-01,,944.0,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/360/header.jpg?t=1447350852
