index,label
0,76561197960302536
1,76561197960323774
2,76561197960355015
3,76561197960385706
4,76561197960422789
5,76561197960464402
6,76561197960477514
7,76561197960562426
8,76561197960699459
9,76561197960893141
10,76561197961091730
11,76561197961243455
12,76561197961520268
13,76561197961550096
14,76561197961563410
15,76561197961847202
16,76561197961893265
17,76561197961921277
18,76561197962016202
19,76561197962250094
20,76561197962323450
21,76561197963073442
22,76561197963203393
23,76561197963334653
24,76561197963357033
25,76561197963499133
26,76561197963501527
27,76561197963548532
28,76561197963573164
29,76561197963737581
30,76561197963758566
31,76561197963929737
32,76561197964014559
33,76561197964486471
34,76561197964497659
35,76561197964517006
36,76561197965022350
37,76561197965169412
38,76561197965271114
39,76561197965499872
40,76561197965552657
41,76561197966222884
42,76561197966417949
43,76561197966549639
44,76561197966671460
45,76561197966803638
46,76561197966924991
47,76561197966951746
48,76561197966994090
49,76561197967159562
50,76561197967195706
51,76561197967251861
52,76561197967792104
53,76561197968489595
54,76561197968549753
55,76561197968715793
56,76561197968836308
57,76561197969268063
58,76561197969402037
59,76561197970209177
60,76561197970338846
61,76561197970478540
62,76561197970553899
63,76561197970599967
64,76561197970633231
65,76561197970654601
66,76561197970692271
67,76561197970700973
68,76561197970806815
69,76561197970839999
70,76561197970993256
71,76561197971117166
72,76561197971264052
73,76561197971387530
74,76561197971493273
75,76561197971493752
76,76561197971527052
77,76561197971656367
78,76561197971851938
79,76561197971900611
80,76561197971951483
81,76561197972183630
82,76561197972265180
83,76561197972339849
84,76561197972342579
85,76561197972442923
86,76561197972823191
87,76561197972848013
88,76561197973142309
89,76561197973407300
90,76561197973615220
91,76561197973687114
92,76561197973738796
93,76561197973807690
94,76561197973893586
95,76561197973896691
96,76561197974514439
97,76561197974697190
98,76561197974792989
99,76561197974805197
100,76561197974830406
101,76561197975166910
102,76561197975366404
103,76561197975774538
104,76561197975940393
105,76561197976301568
106,76561197976765977
107,76561197976766597
108,76561197976838073
109,76561197977080376
110,76561197977108392
111,76561197977196750
112,76561197977448037
113,76561197977523579
114,76561197977795682
115,76561197978139811
116,76561197978770619
117,76561197978874479
118,76561197978879876
119,76561197979330211
120,76561197979601882
121,76561197979603524
122,76561197979749057
123,76561197979781556
124,76561197979947413
125,76561197980170268
126,76561197980486717
127,76561197980551352
128,76561197980701807
129,76561197980844910
130,76561197980848541
131,76561197980958629
132,76561197981255414
133,76561197981283141
134,76561197981389320
135,76561197981484527
136,76561197981577737
137,76561197981677299
138,76561197981705327
139,76561197981848373
140,76561197981920093
141,76561197982149929
142,76561197982183624
143,76561197982659177
144,76561197982702967
145,76561197982714940
146,76561197982716169
147,76561197983031082
148,76561197983213351
149,76561197983585279
150,76561197983709481
151,76561197983719320
152,76561197983731558
153,76561197983771505
154,76561197983783254
155,76561197983785416
156,76561197983960771
157,76561197984126683
158,76561197984495803
159,76561197984977321
160,76561197984988514
161,76561197985092059
162,76561197985614475
163,76561197985840240
164,76561197986206764
165,76561197986214029
166,76561197986430281
167,76561197986639176
168,76561197986949134
169,76561197986981303
170,76561197987401348
171,76561197987442441
172,76561197987462766
173,76561197987878986
174,76561197987881277
175,76561197987982678
176,76561197988677156
177,76561197988695389
178,76561197988726796
179,76561197988741412
180,76561197988852185
181,76561197988881985
182,76561197988891617
183,76561197988943712
184,76561197989000869
185,76561197989052595
186,76561197989163648
187,76561197989436397
188,76561197989557637
189,76561197989662441
190,76561197989692441
191,76561197989759727
192,76561197989959015
193,76561197990307640
194,76561197990332238
195,76561197990454523
196,76561197990494312
197,76561197990517587
198,76561197990809425
199,76561197990980106
200,76561197991128734
201,76561197991172574
202,76561197991312527
203,76561197991529956
204,76561197991597065
205,76561197991627841
206,76561197991671465
207,76561197991862984
208,76561197991894205
209,76561197991920012
210,76561197991978511
211,76561197992068622
212,76561197992098065
213,76561197992157123
214,76561197992193776
215,76561197992214512
216,76561197992298954
217,76561197992434492
218,76561197992731589
219,76561197992759306
220,76561197992763834
221,76561197992870728
222,76561197992878723
223,76561197993022136
224,76561197993037506
225,76561197993258502
226,76561197993276491
227,76561197993377723
228,76561197993402239
229,76561197993431907
230,76561197993494378
231,76561197993893501
232,76561197993919784
233,76561197994119296
234,76561197994538381
235,76561197994561740
236,76561197994563883
237,76561197994568158
238,76561197994618967
239,76561197994721331
240,76561197994885450
241,76561197994925901
242,76561197994938829
243,76561197995113249
244,76561197995177219
245,76561197995233963
246,76561197995269186
247,76561197995440370
248,76561197995500829
249,76561197995647423
250,76561197995685525
251,76561197995744003
252,76561197995763529
253,76561197995882560
254,76561197996028853
255,76561197996032155
256,76561197996161892
257,76561197996288696
258,76561197996374591
259,76561197996401266
260,76561197996525814
261,76561197996526933
262,76561197996552120
263,76561197996570834
264,76561197996710217
265,76561197996737262
266,76561197996741809
267,76561197996779897
268,76561197997015661
269,76561197997099001
270,76561197997214759
271,76561197997375511
272,76561197997618202
273,76561197997697243
274,76561197997756397
275,76561197997942432
276,76561197998024826
277,76561197998168867
278,76561197998207255
279,76561197998288095
280,76561197998310605
281,76561197998312424
282,76561197998320849
283,76561197998406398
284,76561197998500890
285,76561197998517925
286,76561197998611808
287,76561197998613664
288,76561197998778232
289,76561197998834248
290,76561197998919347
291,76561197998944859
292,76561197998991077
293,76561197999032708
294,76561197999280384
295,76561197999367796
296,76561197999418429
297,76561197999459713
298,76561197999478123
299,76561197999563131
300,76561197999563728
301,76561197999575013
302,76561197999587556
303,76561197999599651
304,76561197999784951
305,76561197999846953
306,76561197999918643
307,76561198000054873
308,76561198000061127
309,76561198000082101
310,76561198000082490
311,76561198000105250
312,76561198000124364
313,76561198000137553
314,76561198000142433
315,76561198000181910
316,76561198000505015
317,76561198000511034
318,76561198000713394
319,76561198000770434
320,76561198000801469
321,76561198000805694
322,76561198000864528
323,76561198001049858
324,76561198001138770
325,76561198001210062
326,76561198001258241
327,76561198001444628
328,76561198001468659
329,76561198001524972
330,76561198001683089
331,76561198001699866
332,76561198001825881
333,76561198001883621
334,76561198001942207
335,76561198002182706
336,76561198002201483
337,76561198002205928
338,76561198002218728
339,76561198002514340
340,76561198002560460
341,76561198002810546
342,76561198003070764
343,76561198003082630
344,76561198003166979
345,76561198003428606
346,76561198003445168
347,76561198003610677
348,76561198003669990
349,76561198003676406
350,76561198003785299
351,76561198003848905
352,76561198003876146
353,76561198003890581
354,76561198004057813
355,76561198004150237
356,76561198004175105
357,76561198004244559
358,76561198004300435
359,76561198004384743
360,76561198004396276
361,76561198004495040
362,76561198004499486
363,76561198004629599
364,76561198004631995
365,76561198004715969
366,76561198004723179
367,76561198004960536
368,76561198005028877
369,76561198005095054
370,76561198005097703
371,76561198005180400
372,76561198005182624
373,76561198005199535
374,76561198005256247
375,76561198005342561
376,76561198005427695
377,76561198005486366
378,76561198005542304
379,76561198005628897
380,76561198005634435
381,76561198005634922
382,76561198005720354
383,76561198005973492
384,76561198005979379
385,76561198006036613
386,76561198006180492
387,76561198006202823
388,76561198006268222
389,76561198006347178
390,76561198006347921
391,76561198006442260
392,76561198006710046
393,76561198006959705
394,76561198007124653
395,76561198007132035
396,76561198007191675
397,76561198007428858
398,76561198007533691
399,76561198007559468
400,76561198007569092
401,76561198007601325
402,76561198007650656
