user_id,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9
76561197960323774,39210,252490,268850,9900,216150,238960,20590,269470,203770,389430
76561197960355015,304030,107410,268850,429200,322170,359550,500,236850,269470,47410
76561197960385706,39210,236850,304030,238960,372000,4000,212160,8930,20590,346110
76561197960422789,730,236850,295270,216150,251810,394360,207890,230410,269470,228180
76561197960464402,730,359550,231670,202990,295270,240,207890,269470,313740,429200
76561197960477514,9900,216150,268850,346110,207890,730,295270,20590,252490,359550
76561197960562426,268850,4000,363970,231670,107410,47410,8930,271590,322170,252490
76561197960699459,236850,268850,107410,214950,384300,20590,378120,201230,269470,394360
76561197960893141,268850,295270,207890,330070,45760,8500,34220,47410,252490,372000
76561197961091730,39210,330070,372000,236850,730,252950,42710,20590,238960,42690
76561197961243455,113400,4000,39210,20590,214950,10190,304030,9900,200210,346110
76561197961520268,730,269470,107410,10,429200,47410,500,212200,252950,364420
76561197961550096,236850,372000,295270,212160,48700,230410,9900,226700,42690,394360
76561197961893265,730,48700,203770,216150,269470,8500,252950,236850,207890,372000
76561197962016202,4000,730,207890,295270,370240,203770,269470,34220,251870,330070
76561197962250094,378120,295270,231670,236850,322170,389430,251810,310950,230410,10
76561197963073442,39210,207890,372000,429200,251810,330070,322170,212160,304030,20590
76561197963203393,203770,363970,268850,48700,269470,212200,388080,8500,231430,330070
76561197963334653,730,346110,9900,216150,203770,269470,364360,113400,251810,429200
76561197963357033,4000,39210,304030,429200,10190,226700,107410,207890,8930,25800
76561197963499133,207890,203770,364360,429200,226700,25800,231430,251870,42960,201230
76561197963501527,207890,378120,304030,231670,330070,238960,8800,20590,295270,730
76561197963548532,251810,236850,212200,42710,394360,311210,330070,10190,271590,202990
76561197963573164,39210,4000,10190,207890,251810,330070,429200,231430,202990,236430
76561197963737581,9900,268850,39210,4000,346110,378120,113400,269470,33930,40100
76561197963758566,39210,10,236850,251810,201230,378120,226700,389430,295270,372000
76561197963929737,295270,200210,231670,730,231430,378120,34220,202990,207890,346110
76561197964014559,236850,4000,730,386360,231430,429200,252490,203770,20590,370240
76561197964497659,304030,730,359550,252490,322170,231670,17020,47410,236850,201230
76561197964517006,207890,363970,385770,313740,429200,226700,231670,330070,236430,8930
